Date,Open,High,Low,Close,Adj Close,Volume
2012-01-20,185.770004,188.970001,184.750000,188.520004,159.447815,12849700
2012-01-23,187.910004,190.520004,187.669998,189.979996,160.682663,5751700
2012-01-24,188.630005,192.300003,188.520004,191.929993,162.331940,5345700
2012-01-25,191.330002,192.240005,189.610001,191.729996,162.162781,4359700
2012-01-26,191.789993,192.789993,190.470001,190.979996,161.528412,4004700
2012-01-27,190.009995,191.770004,189.809998,190.460007,161.088638,3360400
2012-01-30,189.389999,192.729996,188.220001,192.500000,162.814041,4359000
2012-01-31,193.089996,193.100006,191.000000,192.600006,162.898621,4826800
2012-02-01,193.210007,194.809998,192.410004,192.619995,162.915527,5088800
2012-02-02,192.720001,193.330002,191.330002,191.529999,161.993652,3907300
2012-02-03,192.929993,194.130005,192.539993,193.639999,163.778290,4521700
2012-02-06,192.479996,193.759995,192.000000,192.820007,163.084686,3639800
2012-02-07,192.449997,194.139999,191.970001,193.350006,163.532974,3433000
2012-02-08,192.779999,193.580002,191.729996,192.949997,163.830124,3803800
2012-02-09,193.029999,194.460007,192.550003,193.130005,163.982941,3876400
2012-02-10,191.759995,192.429993,191.279999,192.419998,163.380112,3391100
2012-02-13,193.309998,193.690002,191.740005,192.619995,163.549957,2458800
2012-02-14,191.759995,192.600006,190.830002,192.220001,163.210342,3398100
2012-02-15,192.309998,193.440002,191.259995,192.250000,163.235779,4020900
2012-02-16,192.610001,193.250000,192.000000,193.020004,163.889603,3525500
2012-02-17,193.710007,193.860001,192.300003,193.419998,164.229233,3746500
2012-02-21,193.729996,194.240005,192.460007,193.389999,164.203720,3293600
2012-02-22,193.029999,194.740005,192.750000,193.869995,164.611267,3275800
2012-02-23,193.869995,199.229996,193.279999,197.610001,167.786865,8032700
2012-02-24,198.380005,198.559998,196.610001,197.759995,167.914215,3353200
2012-02-27,196.779999,198.710007,196.100006,197.529999,167.718887,3758400
2012-02-28,197.750000,198.960007,197.429993,197.979996,168.101013,3167400
2012-02-29,197.860001,199.169998,196.449997,196.729996,167.039688,5117100
2012-03-01,197.229996,198.470001,196.929993,197.529999,167.718887,3560300
2012-03-02,197.100006,198.889999,197.059998,198.809998,168.805756,3727400
2012-03-05,198.360001,201.190002,198.300003,200.660004,170.376541,6938000
2012-03-06,199.139999,199.639999,196.809998,197.259995,167.489655,5214700
2012-03-07,198.089996,198.570007,197.309998,197.770004,167.922714,3346900
2012-03-08,199.240005,199.990005,198.649994,199.809998,169.654816,3145800
2012-03-09,199.979996,201.100006,199.720001,200.619995,170.342606,3178200
2012-03-12,200.929993,201.570007,200.229996,201.000000,170.665222,3119700
2012-03-13,201.720001,203.899994,201.610001,203.779999,173.025696,4866000
2012-03-14,203.779999,205.149994,203.639999,204.720001,173.823853,4602300
2012-03-15,204.940002,206.179993,204.740005,206.000000,174.910614,3621100
2012-03-16,207.029999,207.520004,206.009995,206.009995,174.919128,9637000
2012-03-19,205.710007,206.529999,204.500000,205.720001,174.672897,3763200
2012-03-20,204.740005,205.000000,203.699997,204.250000,173.424774,3695100
2012-03-21,204.320007,205.770004,204.300003,204.690002,173.798325,3329900
2012-03-22,204.000000,205.990005,203.960007,205.490005,174.477631,3307800
2012-03-23,205.889999,205.960007,204.559998,205.479996,174.469101,3036200
2012-03-26,206.449997,207.919998,206.320007,207.770004,176.413498,3418200
2012-03-27,208.460007,208.660004,207.000000,207.179993,175.912567,2704500
2012-03-28,207.440002,208.690002,206.270004,207.289993,176.005997,3265700
2012-03-29,206.089996,208.500000,206.020004,208.270004,176.838058,3403700
2012-03-30,208.740005,209.119995,208.009995,208.649994,177.160690,3215200
2012-04-02,208.960007,209.690002,208.089996,209.470001,177.856949,3387900
2012-04-03,209.309998,210.690002,208.539993,209.500000,177.882431,4091500
2012-04-04,206.220001,206.979996,205.190002,206.050003,174.953110,4404000
2012-04-05,205.149994,205.679993,204.460007,205.470001,174.460632,3809000
2012-04-09,204.399994,206.169998,203.369995,204.940002,174.010620,3326900
2012-04-10,204.940002,205.740005,202.169998,202.330002,171.794525,4132900
2012-04-11,203.990005,204.320007,202.460007,202.580002,172.006775,3366200
2012-04-12,202.800003,205.559998,202.639999,205.320007,174.333221,2929600
2012-04-13,204.320007,204.649994,202.800003,202.800003,172.193573,3767000
2012-04-16,204.740005,205.970001,202.720001,202.720001,172.125626,3826600
2012-04-17,204.570007,207.639999,204.149994,207.449997,176.141815,6065500
2012-04-18,202.429993,204.070007,200.000000,200.130005,169.926544,10153500
2012-04-19,200.029999,201.259995,197.520004,199.509995,169.400070,5762900
2012-04-20,199.830002,200.119995,199.089996,199.600006,169.476517,4758200
2012-04-23,197.889999,199.100006,196.789993,198.619995,168.644424,3618800
2012-04-24,199.059998,202.479996,198.869995,200.000000,169.816116,5626300
2012-04-25,202.020004,203.690002,201.800003,203.570007,172.847412,4003400
2012-04-26,203.399994,206.210007,203.399994,205.580002,174.554001,3302700
2012-04-27,206.470001,208.169998,205.910004,206.809998,175.598419,3496900
2012-04-30,206.710007,207.960007,206.320007,207.080002,175.827637,2773200
2012-05-01,207.179993,208.929993,206.710007,208.000000,176.608826,2715900
2012-05-02,206.970001,208.270004,206.910004,208.059998,176.659698,2360300
2012-05-03,208.270004,208.919998,206.550003,207.240005,175.963531,2826600
2012-05-04,206.470001,207.110001,204.399994,204.990005,174.053085,4023600
2012-05-07,203.960007,204.770004,202.899994,203.750000,173.000198,3373400
2012-05-08,202.440002,203.059998,199.720001,201.479996,171.789459,3881500
2012-05-09,199.990005,203.000000,199.059998,201.229996,171.576294,3742500
2012-05-10,201.000000,203.250000,200.020004,200.600006,171.039139,3830500
2012-05-11,199.960007,202.119995,199.949997,201.169998,171.525131,2391500
2012-05-14,199.919998,200.710007,198.559998,199.440002,170.050095,3029200
2012-05-15,199.440002,201.470001,198.759995,199.039993,169.708984,2987400
2012-05-16,199.419998,201.350006,198.179993,199.729996,170.297333,5001000
2012-05-17,199.669998,200.789993,197.639999,197.889999,168.728500,5626300
2012-05-18,198.779999,198.779999,195.160004,195.880005,167.014725,5737100
2012-05-21,195.979996,197.929993,194.630005,197.759995,168.617615,3831700
2012-05-22,198.039993,198.259995,196.059998,196.820007,167.816193,3567100
2012-05-23,195.529999,196.490005,193.199997,196.119995,167.219315,4100000
2012-05-24,195.990005,196.279999,194.000000,196.089996,167.193710,3569300
2012-05-25,195.110001,196.000000,194.000000,194.300003,165.667526,2901900
2012-05-29,195.220001,198.080002,195.220001,196.460007,167.509232,3618500
2012-05-30,194.800003,195.470001,193.770004,194.529999,165.863632,3602500
2012-05-31,194.100006,194.929993,192.000000,192.899994,164.473785,9287500
2012-06-01,190.119995,191.720001,188.600006,189.080002,161.216751,5206400
2012-06-04,188.339996,189.380005,187.000000,188.539993,160.756302,4624500
2012-06-05,187.919998,189.850006,187.559998,189.199997,161.319092,3556500
2012-06-06,190.779999,194.000000,190.020004,193.990005,165.403214,3641300
2012-06-07,195.279999,195.830002,193.940002,194.440002,165.786880,3701100
2012-06-08,193.710007,195.139999,192.699997,195.139999,166.383698,2479200
2012-06-11,196.600006,196.699997,192.369995,192.509995,164.141281,3273300
2012-06-12,192.139999,194.669998,192.139999,194.550003,165.880676,3023700
2012-06-13,194.360001,195.190002,192.350006,193.100006,164.644379,3247700
2012-06-14,193.000000,195.830002,192.740005,195.100006,166.349640,3585000
2012-06-15,196.080002,199.270004,195.399994,199.100006,169.760193,6389000
2012-06-18,197.570007,199.639999,197.169998,198.289993,169.069550,3378900
2012-06-19,198.830002,199.990005,198.800003,198.929993,169.615219,3297600
2012-06-20,198.699997,199.740005,197.500000,198.779999,169.487320,3378200
2012-06-21,199.070007,199.449997,193.190002,193.389999,164.891602,4316600
2012-06-22,193.869995,194.880005,193.220001,193.699997,165.155945,8823000
2012-06-25,192.479996,193.389999,191.679993,192.860001,164.439697,3211600
2012-06-26,193.539993,193.679993,190.750000,191.949997,163.663834,3435900
2012-06-27,192.139999,193.699997,190.899994,193.000000,164.559082,2762700
2012-06-28,191.229996,192.080002,188.899994,191.399994,163.194855,3967300
2012-06-29,194.550003,195.809998,192.410004,195.580002,166.758911,5259600
2012-07-02,196.360001,197.199997,194.850006,195.830002,166.972031,2827000
2012-07-03,195.460007,196.339996,194.910004,195.929993,167.057327,1450400
2012-07-05,194.880005,196.850006,193.630005,195.289993,166.511627,2690200
2012-07-06,193.919998,193.940002,189.740005,191.410004,163.203400,4952900
2012-07-09,190.759995,191.000000,188.050003,189.669998,161.719818,3988100
2012-07-10,190.300003,191.139999,185.600006,186.259995,158.812347,4690300
2012-07-11,186.220001,187.360001,183.509995,185.250000,157.951126,5456100
2012-07-12,184.250000,184.389999,181.850006,183.089996,156.109451,4931300
2012-07-13,183.460007,186.330002,183.029999,186.009995,158.599167,3933000
2012-07-16,185.580002,186.100006,184.580002,184.789993,157.558945,3144400
2012-07-17,185.729996,186.289993,183.199997,183.649994,156.586914,5158600
2012-07-18,184.149994,188.589996,183.550003,188.250000,160.509094,8019500
2012-07-19,193.399994,196.850006,192.970001,195.339996,166.554291,10395400
2012-07-20,194.089996,194.899994,192.169998,192.449997,164.090149,4789700
2012-07-23,189.779999,191.300003,188.199997,190.830002,162.708862,3904500
2012-07-24,190.919998,191.320007,188.559998,190.339996,162.291077,3597100
2012-07-25,190.309998,192.770004,189.320007,191.080002,162.922028,3833800
2012-07-26,193.490005,194.949997,192.570007,193.949997,165.369080,3282900
2012-07-27,195.100006,197.410004,193.949997,196.389999,167.449554,4177300
2012-07-30,196.320007,197.839996,195.919998,196.679993,167.696808,2787000
2012-07-31,196.500000,197.580002,195.880005,195.979996,167.099976,3507000
2012-08-01,196.960007,197.850006,194.720001,195.179993,166.417847,2559300
2012-08-02,194.160004,196.600006,193.020004,194.449997,165.795395,2812600
2012-08-03,196.479996,198.949997,196.160004,198.520004,169.265656,3278100
2012-08-06,198.759995,199.940002,198.520004,198.759995,169.470261,2337800
2012-08-07,199.429993,200.880005,198.800003,199.929993,170.467880,3209400
2012-08-08,198.270004,199.690002,198.160004,199.029999,170.425079,2068300
2012-08-09,198.619995,199.460007,197.889999,198.419998,169.902756,2160100
2012-08-10,197.869995,199.369995,197.240005,199.289993,170.647720,2600500
2012-08-13,198.880005,199.979996,197.789993,199.009995,170.407944,2418300
2012-08-14,198.880005,199.330002,197.720001,198.289993,169.791397,2562300
2012-08-15,198.899994,199.330002,197.919998,198.399994,169.885574,2111800
2012-08-16,198.770004,201.320007,198.119995,200.839996,171.974930,2729500
2012-08-17,201.080002,202.000000,200.660004,201.220001,172.300323,2551800
2012-08-20,200.690002,201.130005,200.029999,200.500000,171.683792,2336000
2012-08-21,200.990005,201.000000,198.369995,198.649994,170.099686,3111300
2012-08-22,198.639999,198.649994,196.899994,197.250000,168.900879,3296100
2012-08-23,197.039993,197.369995,195.440002,195.699997,167.573669,2757400
2012-08-24,194.960007,198.110001,194.199997,197.770004,169.346130,2639500
2012-08-27,197.960007,198.300003,195.610001,195.690002,167.565094,2498800
2012-08-28,195.559998,196.110001,194.500000,194.869995,166.862961,2539200
2012-08-29,195.130005,196.039993,194.899994,195.080002,167.042770,2141400
2012-08-30,194.770004,195.470001,193.179993,193.369995,165.578522,2740900
2012-08-31,194.309998,195.949997,193.460007,194.850006,166.845795,3193300
2012-09-04,196.610001,197.169998,193.250000,194.539993,166.580338,4514400
2012-09-05,194.410004,195.850006,193.889999,195.039993,167.008484,3312500
2012-09-06,196.259995,199.460007,196.110001,199.100006,170.485016,3931700
2012-09-07,199.119995,199.500000,198.080002,199.500000,170.827469,3413700
2012-09-10,199.389999,201.820007,198.729996,200.949997,172.069107,4208000
2012-09-11,200.550003,203.460007,200.509995,203.270004,174.055664,3910600
2012-09-12,203.520004,204.649994,202.960007,203.770004,174.483810,3284000
2012-09-13,204.380005,206.809998,203.460007,206.360001,176.701584,3879600
2012-09-14,206.240005,207.649994,206.050003,206.809998,177.086899,4057100
2012-09-17,205.550003,207.990005,205.550003,207.149994,177.378021,3275100
2012-09-18,206.880005,207.880005,206.479996,207.070007,177.309540,2476100
2012-09-19,207.550003,207.570007,206.009995,206.429993,176.761520,2605600
2012-09-20,205.850006,206.990005,205.300003,206.179993,176.547455,3739100
2012-09-21,207.360001,207.940002,205.919998,205.979996,176.376175,12771500
2012-09-24,205.020004,206.059998,204.899994,205.289993,175.785355,3511100
2012-09-25,205.600006,207.320007,204.949997,204.979996,175.519928,3345200
2012-09-26,205.050003,205.979996,203.899994,204.000000,174.680756,3423300
2012-09-27,204.369995,206.899994,204.139999,205.910004,176.316269,2771900
2012-09-28,205.660004,208.320007,205.309998,207.449997,177.634933,4910900
2012-10-01,208.009995,211.750000,207.940002,210.470001,180.220917,5456900
2012-10-02,210.960007,211.470001,208.500000,209.839996,179.681412,3321000
2012-10-03,209.940002,211.300003,209.300003,210.509995,180.255127,3192300
2012-10-04,210.279999,210.970001,208.529999,210.389999,180.152420,2957500
2012-10-05,211.149994,211.789993,210.059998,210.589996,180.323593,2858400
2012-10-08,210.020004,210.639999,209.210007,209.820007,179.664291,1982600
2012-10-09,209.949997,210.740005,207.699997,207.990005,178.097260,3580400
2012-10-10,207.820007,208.229996,205.050003,205.820007,176.239212,4024500
2012-10-11,206.570007,207.270004,205.630005,205.759995,176.187820,2910000
2012-10-12,205.639999,207.960007,205.559998,207.800003,177.934586,2712000
2012-10-15,208.880005,209.399994,207.820007,208.929993,178.902191,3060900
2012-10-16,209.940002,211.000000,209.470001,211.000000,180.674698,5632100
2012-10-17,201.210007,203.410004,198.550003,200.630005,171.795090,12673900
2012-10-18,199.910004,200.139999,194.070007,194.960007,166.940002,9295900
2012-10-19,195.289993,196.080002,193.179993,193.360001,165.569992,6620300
2012-10-22,193.710007,194.679993,192.440002,194.399994,166.460464,4402500
2012-10-23,193.529999,194.000000,190.940002,191.250000,163.763199,4427400
2012-10-24,192.440002,193.289993,190.559998,190.720001,163.309372,3738000
2012-10-25,191.410004,192.440002,190.710007,191.600006,164.062927,3249600
2012-10-26,191.490005,193.869995,191.470001,193.270004,165.492905,4006500
2012-10-31,194.800003,196.410004,193.630005,194.529999,166.571793,6052300
2012-11-01,194.679993,197.889999,194.550003,197.149994,168.815231,3758800
2012-11-02,197.529999,198.000000,193.289993,193.429993,165.629913,4260100
2012-11-05,192.360001,194.970001,192.009995,194.139999,166.237854,2736200
2012-11-06,195.259995,196.750000,194.679993,195.070007,167.034210,3281000
2012-11-07,193.360001,193.679993,191.160004,191.160004,164.402527,4746200
2012-11-08,191.399994,191.809998,190.089996,190.100006,163.490891,3542200
2012-11-09,189.850006,191.639999,188.880005,189.639999,163.095276,3671600
2012-11-12,190.029999,190.770004,187.410004,189.250000,162.759872,3067400
2012-11-13,188.389999,190.880005,188.250000,188.320007,161.960052,3406700
2012-11-14,189.139999,189.270004,185.279999,185.509995,159.543350,4404400
2012-11-15,185.830002,187.199997,184.779999,185.850006,159.835785,3411700
2012-11-16,186.330002,187.559998,185.100006,186.940002,160.773224,4660800
2012-11-19,188.619995,190.389999,188.300003,190.350006,163.705917,3588900
2012-11-20,189.880005,190.110001,188.250000,189.199997,162.716827,3170200
2012-11-21,189.300003,190.889999,188.949997,190.289993,163.654297,5189600
2012-11-23,191.000000,193.490005,190.800003,193.490005,166.406357,3877600
2012-11-26,192.449997,193.369995,191.770004,192.880005,165.881775,5210300
2012-11-27,192.080002,193.050003,191.000000,191.229996,164.462692,3290900
2012-11-28,190.979996,192.039993,189.270004,191.979996,165.107727,3603600
2012-11-29,192.750000,192.899994,190.199997,191.529999,164.720734,4077900
2012-11-30,191.750000,192.000000,189.500000,190.070007,163.465073,4936400
2012-12-03,190.759995,191.300003,188.360001,189.479996,162.957703,3349600
2012-12-04,189.710007,190.750000,189.020004,189.360001,162.854477,3990700
